"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"FBtr0072890",47.815138674983,1.68135030529322,0.206016367372346,8.16124624823822,3.31585381028995e-16,4.45813161269188e-14,"CG9004"
"FBtr0340637",28.518967425141,2.31812606056971,0.283976718190392,8.16308490126125,3.2657478887938e-16,4.45813161269188e-14,"lncRNA:CR44510"
"FBtr0074285",39.9106395972508,1.71238564424436,0.213650010018723,8.01491019866697,1.10217515070801e-15,1.45222597857287e-13,"mbt"
"FBtr0076383",54.508561846217,1.70318297162074,0.214043936937128,7.95716522501182,1.76025584914651e-15,2.27383637925043e-13,"CG3335"
"FBtr0085845",103.65289259778,2.25088851680611,0.283390796374063,7.94270154714213,1.97824543110123e-15,2.50628478847979e-13,"Acf"
"FBtr0070912",166.921848046875,1.62720423238926,0.205647052534886,7.91260663516304,2.52054809184091e-15,3.13308883566942e-13,"CG3918"
"FBtr0076064",22.9792317715234,2.3539279051613,0.298888706886202,7.87560001742565,3.39111473616494e-15,4.13715997812123e-13,"prc"
"FBtr0080364",40.3791849719604,1.79539994953959,0.228101169559755,7.87106858331674,3.51624798871847e-15,4.21182577266859e-13,"CG6712"
"FBtr0086738",118.797402104307,2.06850337711944,0.263115007533446,7.86159404782907,3.79275502762384e-15,4.46190537892604e-13,"pAbp"
"FBtr0088957",43.2518154837643,2.16262414626564,0.275408933205676,7.85241103508647,4.08114374791044e-15,4.71694298442702e-13,"Drat"
"FBtr0077014",79.1787963732343,1.49684828053736,0.190827841398979,7.8439721875163,4.36513822895303e-15,4.95819494005907e-13,"LanA"
"FBtr0077712",125.533044746056,1.52196600484604,0.195440417910351,7.78736568985525,6.84207094229169e-15,7.63992599454536e-13,"Cwc25"
"FBtr0075067",113.185743299827,1.70196874386643,0.218687282991745,7.7826598811906,7.10153693283786e-15,7.79748755225597e-13,"CG6843"
"FBtr0307033",10.472352328328,3.6319049601114,0.468368442802532,7.75437588916006,8.8779001133928e-15,9.58813212246423e-13,"Nlg2"
"FBtr0100446",193.302506672735,1.82165547250374,0.23686656115167,7.69064009561611,1.46400723623137e-14,1.55562575359553e-12,"CG12877"
"FBtr0073680",179.241100814572,1.57269752110486,0.205507291180758,7.65275777841653,1.96714241089143e-14,2.05706892110361e-12,"CkIalpha"
"FBtr0071444",41.233724206753,1.51840434882174,0.198829806952527,7.63670383276224,2.22853326881055e-14,2.29399643358186e-12,"CG17841"
"FBtr0100393",25.7203538001228,2.05134904151217,0.270841652072325,7.5739792082068,3.61962371311246e-14,3.66862784953614e-12,"par-1"
"FBtr0078629",174.470964001737,1.32820075476413,0.175414037724436,7.57180424095044,3.68075844387178e-14,3.67406615579201e-12,"Rpn5"
"FBtr0075529",39.0057442987084,1.5675750820858,0.207433070906187,7.55701622329426,4.12420545675448e-14,4.0391758413457e-12,"Pka-C3"
"FBtr0306682",89.7571169522445,1.1313494429876,0.14973643533813,7.55560555741042,4.1691553917958e-14,4.0391758413457e-12,"CG8492"
"FBtr0086740",670.317538164205,1.95759020078197,0.259926549110729,7.53132070378865,5.02296489778221e-14,4.79583952849119e-12,"pAbp"
"FBtr0081719",528.329328669894,1.89274939577135,0.251829429325885,7.51599763712286,5.64785734068548e-14,5.315440594348e-12,"TfIIFalpha"
"FBtr0073454",119.856029449353,1.55785329596097,0.208611286543928,7.46773255546235,8.15884528115385e-14,7.57048911440022e-12,"dsh"
"FBtr0085720",130.28289127912,1.15210804191262,0.155688203648323,7.400098497604,1.36083520327956e-13,1.2451642110008e-11,"wts"
"FBtr0072242",531.116313513085,1.86605355346228,0.252580033045266,7.38796939316202,1.49088048706814e-13,1.34546858202807e-11,"Ssrp"
"FBtr0074893",234.777505806311,1.84734750220499,0.250509042257562,7.37437453577278,1.65118392016236e-13,1.45039995547062e-11,"Rpn1"
"FBtr0081001",269.859188850663,1.40331649820307,0.190254938751408,7.37597934336245,1.63141310223591e-13,1.45039995547062e-11,"cass"
"FBtr0072463",1233.35965728926,2.07057725022373,0.280919725954681,7.37070792443305,1.69724325916818e-13,1.47124191992105e-11,"Lsp1gamma"
"FBtr0309961",12.1176493197254,2.87360188998756,0.390285376930712,7.36282233422678,1.800619556537e-13,1.54058203096958e-11,"Adar"
"FBtr0340612",165.452986869137,1.44759007715077,0.196691575297162,7.35969537568527,1.84330386549282e-13,1.55688280331624e-11,"Ubqn"
"FBtr0082534",144.08547523255,1.14789151230846,0.156670230124618,7.32680044827538,2.3571239789226e-13,1.9656623763471e-11,"Lk6"
"FBtr0334523",58.0749585205429,1.41270188681976,0.193081458425438,7.31661081462831,2.54312025491213e-13,2.09425952992014e-11,"Xrp1"
"FBtr0333925",38.1111670711397,1.65603867623551,0.226718633637179,7.30437833744928,2.78551578355241e-13,2.2655528372893e-11,"CG31324"
"FBtr0077511",51.38252743556,1.81933959456909,0.249643686616284,7.28774526297358,3.15185185462016e-13,2.53224390466313e-11,"capu"
"FBtr0076639",57.7697047059573,-1.77477490830758,0.244080652298786,-7.27126419727458,3.56138622481763e-13,2.76528565682424e-11,"S-Lap2"
"FBtr0077058",11.2446892173046,3.10937024585274,0.427638816248599,7.27101967293159,3.56783972116061e-13,2.76528565682424e-11,"Lcp65Ag1"
"FBtr0089110",179.890978308368,1.4628643143016,0.20115924446098,7.27217045491221,3.53756805919094e-13,2.76528565682424e-11,"bip2"
"FBtr0084723",73.1866739925416,1.7144064815848,0.236049088686321,7.26292353478655,3.78812102412687e-13,2.87010907616632e-11,"CG31121"
"FBtr0346904",75.4859238747028,2.27925714238809,0.313824123588241,7.26284874574725,3.79021690386263e-13,2.87010907616632e-11,"28SrRNA-Psi:CR41609"
"FBtr0087461",71.785121845534,1.43163466121,0.197390783887728,7.25279383876547,4.08261269988225e-13,3.05639232577548e-11,"SMC2"
"FBtr0070843",10.1852559813855,3.16570424036777,0.437311193588505,7.23901945978221,4.51940188591837e-13,3.34537299150901e-11,"Snx27"
"FBtr0071132",171.874570202237,1.34984063309633,0.18696294047842,7.21982992801792,5.20526323405383e-13,3.8102526873274e-11,"mahe"
"FBtr0084671",86.077752070589,1.3309460619429,0.184721650127239,7.20514385306824,5.79826032880628e-13,4.19768560946987e-11,"CG13625"
"FBtr0086974",20.7396504719641,2.04928848058572,0.285606270217127,7.17522230526587,7.21897861077817e-13,5.16941642258767e-11,"CG9646"
"FBtr0343913",25.3401225491622,2.16316291077073,0.302539045911995,7.15002886404277,8.67596555975864e-13,6.14594205459032e-11,"CG44956"
"FBtr0083700",71.0095151669899,1.28406684155347,0.179855862285392,7.13942167487393,9.37244054134789e-13,6.56868492408509e-11,"Xrp1"
"FBtr0088042",146.26459839129,1.48325198646243,0.207913892500006,7.13397247594883,9.75128384486968e-13,6.76225873368436e-11,"ADD1"
